Id,Predicted
John Carter ,5.896966876789767
Avengers: Age of Ultron ,7.3983649572203465
Cars 2 ,6.15959002992786
Green Lantern ,6.294029702241044
Terminator Salvation ,6.274885892429178
Star Trek Beyond ,5.447850667658047
X-Men: Apocalypse ,6.120004751768355
The Dark Knight ,10.082055366656377
Up ,7.910791864418555
Monsters vs. Aliens ,5.65220563224305
Inside Out ,7.29389433975559
Wreck-It Ralph ,6.71614989408669
How to Train Your Dragon ,7.11234749636889
Terminator 3: Rise of the Machines ,5.811199463196133
Kung Fu Panda 3 ,5.450478424214511
Star Trek ,7.336086604150248
Gods of Egypt ,5.306902507422763
Turbo ,5.694336412857352
War of the Worlds ,6.702465705008896
Speed Racer ,5.9416139554785135
Fantastic Four ,5.667429752928053
Real Steel ,6.653087725850989
Ender's Game ,6.060736311230976
Kingdom of Heaven ,6.93289528537732
The Martian ,8.256469856329867
Django Unchained ,10.69676546736556
Point Break ,5.3128928129271555
Surf's Up ,6.055643442978606
Finding Nemo ,8.33621139510471
Seventh Son ,5.416364282258929
Jurassic Park III ,5.781784794514598
The Girl with the Dragon Tattoo ,8.287922147593248
Alvin and the Chipmunks: The Road Chip ,5.4135689770727184
Seabiscuit ,6.660768402200961
Enemy of the State ,6.508627114541179
It's Complicated ,6.247874996150985
The Fast and the Furious: Tokyo Drift ,5.820520347209919
Click ,6.394036530856794
Cats & Dogs: The Revenge of Kitty Galore ,5.1281574724391294
Lilo & Stitch ,6.272951253607311
RED 2 ,6.043846298633672
Zookeeper ,5.884019941912885
Déjà Vu ,6.178704626465893
What Dreams May Come ,6.179783703903779
Journey 2: The Mysterious Island ,5.82116908905085
Inspector Gadget ,5.666612222682694
Grown Ups ,6.291035071882962
Vertical Limit ,5.826901870241053
The Man from U.N.C.L.E. ,6.303911262487771
Driven ,5.728404314621646
Cars ,6.9416376688955
The SpongeBob Movie: Sponge Out of Water ,5.733948153813463
Wolf ,6.632487006407281
The Abyss ,6.773248705697807
I Spy ,5.578945393010829
The Twilight Saga: Eclipse ,6.891409864066354
Need for Speed ,6.278325222203531
Lincoln ,8.317785823352178
Death Race ,6.498947743062473
Hudson Hawk ,5.837461186361313
Two Weeks Notice ,5.811613708488173
Days of Thunder ,6.022758435815871
The Scorch Trials ,6.0543711826369435
The Family Man ,6.258889266942275
Up Close & Personal ,6.150353561268949
The Boxtrolls ,6.0205607687397045
Mercury Rising ,5.9851604601871164
The Last Castle ,6.13034454517767
Dark Water ,6.316827625932153
The Internship ,6.385912715034556
The Nutty Professor ,6.004627505697309
Muppets Most Wanted ,6.394134154684044
Flags of Our Fathers ,7.268083313061066
Lucky You ,6.3019863017615405
Valentine's Day ,6.324294456008436
Casino ,8.255298375733112
Robin Hood: Prince of Thieves ,6.505430435656521
Patch Adams ,6.533856278075931
22 Jump Street ,6.952701402796149
