Id,Predicted
John Carter ,6.384896755218506
Avengers: Age of Ultron ,7.517738342285156
Cars 2 ,6.593789100646973
Green Lantern ,6.364964485168457
Terminator Salvation ,6.5139594078063965
Star Trek Beyond ,6.22002649307251
X-Men: Apocalypse ,6.895628452301025
The Dark Knight ,8.129621505737305
Up ,7.786052227020264
Monsters vs. Aliens ,6.561731338500977
Inside Out ,7.664586067199707
Wreck-It Ralph ,7.3759355545043945
How to Train Your Dragon ,7.564958572387695
Terminator 3: Rise of the Machines ,6.600986957550049
Kung Fu Panda 3 ,6.72943639755249
Star Trek ,7.213223934173584
Gods of Egypt ,6.290677547454834
Turbo ,6.317587375640869
War of the Worlds ,6.827617645263672
Speed Racer ,5.940782070159912
Fantastic Four ,5.73945951461792
Real Steel ,6.5906982421875
Ender's Game ,6.128480434417725
Kingdom of Heaven ,6.938290119171143
The Martian ,7.721674919128418
Django Unchained ,8.333213806152344
Point Break ,5.556785583496094
Surf's Up ,6.152747631072998
Finding Nemo ,8.099952697753906
Seventh Son ,5.5235276222229
Jurassic Park III ,5.8585615158081055
The Girl with the Dragon Tattoo ,7.418229103088379
Alvin and the Chipmunks: The Road Chip ,5.199586391448975
Seabiscuit ,6.443426132202148
Enemy of the State ,6.724865913391113
It's Complicated ,5.972362041473389
The Fast and the Furious: Tokyo Drift ,6.231764316558838
Click ,6.606450080871582
Cats & Dogs: The Revenge of Kitty Galore ,4.551888942718506
Lilo & Stitch ,6.8315606117248535
RED 2 ,6.157280921936035
Zookeeper ,5.793186664581299
Déjà Vu ,6.554305553436279
What Dreams May Come ,6.008198261260986
Journey 2: The Mysterious Island ,6.2339324951171875
Inspector Gadget ,5.348765850067139
Grown Ups ,5.756181716918945
Vertical Limit ,5.900511741638184
The Man from U.N.C.L.E. ,6.588288307189941
Driven ,5.3604841232299805
Cars ,7.285372257232666
The SpongeBob Movie: Sponge Out of Water ,5.7955427169799805
Wolf ,6.548142433166504
The Abyss ,7.121673583984375
I Spy ,5.459940433502197
The Twilight Saga: Eclipse ,6.4198174476623535
Need for Speed ,6.598459243774414
Lincoln ,7.207797527313232
Death Race ,6.71090030670166
Hudson Hawk ,5.460639953613281
Two Weeks Notice ,5.9026618003845215
Days of Thunder ,5.881487846374512
The Scorch Trials ,6.631509304046631
The Family Man ,6.4198102951049805
Up Close & Personal ,6.175775051116943
The Boxtrolls ,6.226220607757568
